width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
320,0.6,0,11,9866,True,23.2,1,22,22,1.2,0,
320,0.6,0,12,9033,True,23.0,1,21,21,2.0,0,
320,0.6,0,13,9610,True,23.5,1,22,22,1.5,0,
320,0.6,0,14,9117,True,22.9,1,21,21,1.9,0,
320,0.6,0,15,9720,True,23.8,1,22,22,1.8,0,
320,0.6,0,16,9840,True,23.2,1,22,22,1.2,0,
320,0.6,0,17,9070,True,23.2,1,22,22,1.2,0,
320,0.6,0,18,9553,True,23.8,2,22,22,1.8,0,
320,0.6,0,19,8899,True,23.0,1,21,21,2.0,0,
320,0.6,0,20,9676,True,24.5,1,23,23,1.5,0,
320,0.6,0,21,9303,True,23.1,1,22,22,1.1,0,
320,0.6,0,22,8991,True,22.9,1,21,21,1.9,0,
320,0.6,0,23,9646,True,23.6,1,22,22,1.6,0,
320,0.6,0,24,8829,True,23.0,1,22,22,1.0,0,
320,0.6,0,25,9416,True,28.0,1,26,26,2.0,0,
320,0.6,0,26,9291,True,23.0,1,21,21,2.0,0,
320,0.6,0,27,8576,True,23.0,1,21,21,2.0,0,
320,0.6,0,28,9176,True,23.5,1,22,22,1.5,0,
320,0.6,0,29,8525,True,23.2,1,22,22,1.2,0,
320,0.6,0,30,8548,True,23.0,1,21,21,2.0,0,
320,0.6,0,31,7808,True,22.7,1,21,21,1.7,0,
320,0.6,0,32,8529,True,24.8,1,23,23,1.8,1,
320,0.6,0,33,7338,True,24.7,1,23,23,1.7,1,
320,0.6,0,34,7275,True,26.8,6,25,25,1.8,1,
320,0.6,0,35,7220,True,26.2,1,25,25,1.2,1,
320,0.6,0,36,7163,True,24.8,1,23,23,1.8,1,
320,0.6,0,37,6882,True,24.8,1,23,23,1.8,1,
320,0.6,0,38,6847,True,25.3,1,24,24,1.3,1,
320,0.6,0,39,6838,True,29.6,1,28,28,1.6,1,
320,0.6,0,40,6720,True,24.4,1,23,23,1.4,1,
320,0.6,0,41,7080,True,24.5,1,23,23,1.5,1,
320,0.6,0,42,6928,True,25.2,1,24,24,1.2,1,
320,0.6,0,43,7067,True,25.1,1,24,24,1.1,1,
320,0.6,0,44,7050,True,25.1,1,24,24,1.1,1,
320,0.6,0,45,7369,True,25.1,1,24,24,1.1,1,
320,0.6,0,46,7172,True,25.4,1,24,24,1.4,1,
320,0.6,0,47,7229,True,25.8,1,24,24,1.8,1,
320,0.6,0,48,7343,True,24.8,1,23,23,1.8,1,
320,0.6,0,49,7325,True,28.2,1,27,27,1.2,0,
320,0.6,0,50,7749,True,23.1,1,22,22,1.1,0,
320,0.6,0,51,8103,True,23.1,1,22,22,1.1,0,
320,0.6,0,52,8469,True,23.9,1,22,22,1.9,0,
320,0.6,0,53,7341,True,25.1,1,24,24,1.1,0,
320,0.6,0,54,7076,True,25.2,1,24,24,1.2,0,
320,0.6,0,55,8672,True,24.5,2,23,23,1.5,0,
320,0.6,0,56,9105,True,24.5,2,23,23,1.5,0,
320,0.6,0,57,9449,True,24.4,1,23,23,1.4,0,
320,0.6,0,58,9962,True,23.5,2,22,22,1.5,0,
320,0.6,0,59,9552,True,27.1,1,25,25,2.1,0,
320,0.6,0,60,10130,True,23.3,2,22,22,1.3,0,
320,0.6,0,61,9940,True,23.2,1,22,22,1.2,0,
320,0.6,0,62,9035,True,23.7,1,22,22,1.7,0,
320,0.6,0,63,8368,True,23.2,1,22,22,1.2,0,
320,0.6,0,64,8424,True,28.4,1,27,27,1.4,0,
320,0.85,0,5,14174,True,23.2,2,22,22,1.2,0,
320,0.85,0,6,15481,True,24.8,2,23,23,1.8,1,
320,0.85,0,7,16949,True,24.2,2,22,22,2.2,0,
